 Instance                         Solved   Time     Nodes Expanded   Distance
-----------------------------------------------------------------------------
7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14    True    2.566838        12117903                53
14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3    True    27.200018       102945789               57
13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6    True    1.687080        6056702                 55
14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15    True    69.375542       241699521               59
5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6    True    22.556320       79059623                56
4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0    True    1.599869        5722803                 56
14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13    True    4.993706        16887712                52
2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0    True    54.876049       183551695               52
12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7    True    8.327628        27977829                50
3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0    True    0.235515        801880                  46
13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1    True    29.105761       95080744                59
5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1    True    21.995281       73487818                57
14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15    True    0.116978        307759                  45
3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7    True    3.413628        10935866                46
7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12    True    248.255066      677171750               59
13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0    True    72.462143       250089534               62
1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0    True    2.626611        8720114                 42
15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12    True    293.910583      1103491410              66
6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13    True    5.313609        19037268                55
7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10    True    0.204940        814261                  46
6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0    True    2.860916        11419567                52
12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2    True    8.855821        37807615                54
14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6    True    100.205292      379968118               59
10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12    True    1.301118        5248809                 49
7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0    True    9.197334        28169133                54
