Instance 			         Solved   Time 	   Nodes Expanded   Distance	
-----------------------------------------------------------------------------
3 2 5 4 0 1 6 7 8 9 10 11 	 True 	 0.000002 	 3 		 3
10 9 2 1 0 8 3 4 5 6 7 11 	 True 	 0.000001 	 3 		 3
2 3 4 5 6 7 8 0 1 9 10 11 	 True 	 0.000001 	 3 		 3
0 1 2 3 4 5 6 7 8 9 10 11 	 True 	 0.000000 	 1 		 0
10 9 1 2 3 7 6 5 4 8 0 11 	 True 	 0.000001 	 4 		 3
0 4 3 2 7 6 5 1 8 9 10 11 	 True 	 0.000001 	 3 		 3
0 8 7 10 9 1 2 3 4 5 6 11 	 True 	 0.000001 	 3 		 3
10 2 3 4 5 9 8 7 6 1 0 11 	 True 	 0.000001 	 4 		 3
3 2 1 0 4 5 6 7 8 9 10 11 	 True 	 0.000001 	 2 		 1
0 1 5 4 3 2 6 7 8 9 10 11 	 True 	 0.000001 	 2 		 1
10 9 8 0 1 2 3 4 5 6 7 11 	 True 	 0.000001 	 2 		 1
10 9 1 2 3 4 5 6 7 8 0 11 	 True 	 0.000001 	 2 		 1
3 4 5 6 7 8 9 10 2 1 0 11 	 True 	 0.000001 	 2 		 1
0 1 2 3 4 8 7 6 5 9 10 11 	 True 	 0.000001 	 2 		 1
0 1 2 3 7 6 5 4 8 9 10 11 	 True 	 0.000001 	 2 		 1
10 9 8 3 2 5 4 0 1 6 7 11 	 True 	 0.000003 	 17 		 6
5 4 3 2 6 7 8 0 1 9 10 11 	 True 	 0.000003 	 17 		 6
0 4 3 2 1 5 6 7 8 9 10 11 	 True 	 0.000001 	 2 		 1
0 8 4 10 9 1 2 3 7 6 5 11 	 True 	 0.000003 	 16 		 6
10 2 3 4 7 8 9 5 6 1 0 11 	 True 	 0.000003 	 17 		 6
0 1 5 4 7 8 3 2 6 9 10 11 	 True 	 0.000003 	 15 		 6
7 6 5 10 9 2 1 0 8 3 4 11 	 True 	 0.000003 	 16 		 6
0 1 4 5 6 2 9 8 7 3 10 11 	 True 	 0.000003 	 16 		 6
10 9 5 2 3 8 4 0 1 6 7 11 	 True 	 0.000006 	 29 		 10
6 7 10 9 1 5 4 3 2 8 0 11 	 True 	 0.000007 	 41 		 10
0 1 6 7 4 8 3 2 5 9 10 11 	 True 	 0.000005 	 28 		 10
7 6 5 1 2 9 10 0 8 3 4 11 	 True 	 0.000006 	 40 		 10
10 6 7 0 3 4 5 1 2 9 8 11 	 True 	 0.000007 	 42 		 10
3 2 8 4 0 1 9 5 6 7 10 11 	 True 	 0.000007 	 41 		 10
0 9 7 6 5 4 8 1 2 10 3 11 	 True 	 0.000007 	 41 		 10
7 6 9 5 2 3 8 4 0 1 10 11 	 True 	 0.000011 	 86 		 15
0 1 4 5 6 10 9 8 7 2 3 11 	 True 	 0.000003 	 17 		 6
5 4 10 9 1 6 7 3 2 8 0 11 	 True 	 0.000013 	 97 		 15
10 9 5 0 1 6 7 4 8 3 2 11 	 True 	 0.000010 	 71 		 15
10 9 1 5 4 8 6 2 3 0 7 11 	 True 	 0.000013 	 89 		 15
0 8 9 10 4 5 6 3 2 1 7 11 	 True 	 0.000014 	 107 		 15
0 9 7 6 2 3 8 1 5 10 4 11 	 True 	 0.000012 	 89 		 15
10 1 9 4 3 2 5 0 8 7 6 11 	 True 	 0.000012 	 88 		 15
4 6 1 2 3 5 9 8 10 7 0 11 	 True 	 0.000010 	 67 		 15
5 2 3 8 4 0 1 10 9 6 7 11 	 True 	 0.000033 	 281 		 21
0 8 1 10 9 4 3 2 7 6 5 11 	 True 	 0.000005 	 29 		 10
10 2 8 7 5 6 4 3 9 1 0 11 	 True 	 0.000048 	 413 		 21
7 6 9 2 1 5 3 8 0 10 4 11 	 True 	 0.000028 	 245 		 21
0 8 5 4 10 9 6 3 2 1 7 11 	 True 	 0.000036 	 299 		 21
3 6 7 9 10 5 4 8 1 2 0 11 	 True 	 0.000028 	 231 		 21
0 3 4 5 2 8 9 1 6 10 7 11 	 True 	 0.000029 	 229 		 21
2 3 9 0 6 10 4 5 1 8 7 11 	 True 	 0.000034 	 311 		 21
10 9 1 2 3 4 8 7 6 5 0 11 	 True 	 0.000001 	 4 		 3
5 2 3 8 4 9 10 1 0 6 7 11 	 True 	 0.000166 	 1663 		 28
10 9 1 2 3 6 7 8 4 5 0 11 	 True 	 0.000003 	 17 		 6
5 1 10 9 2 7 6 4 3 8 0 11 	 True 	 0.000148 	 1523 		 28
2 3 8 1 5 9 10 0 6 4 7 11 	 True 	 0.000141 	 1471 		 28
0 7 6 10 3 2 9 4 5 1 8 11 	 True 	 0.000155 	 1585 		 28
4 6 7 9 10 2 3 8 1 5 0 11 	 True 	 0.000155 	 1596 		 28
0 3 4 5 2 8 9 7 10 6 1 11 	 True 	 0.000139 	 1426 		 28
0 8 3 2 6 1 5 4 7 9 10 11 	 True 	 0.000256 	 2667 		 28
10 9 4 0 1 2 5 6 7 8 3 11 	 True 	 0.000003 	 16 		 6
3 9 8 7 2 5 4 0 1 6 10 11 	 True 	 0.000011 	 87 		 15
10 3 2 1 5 6 7 9 4 8 0 11 	 True 	 0.000005 	 29 		 10
6 7 4 3 1 2 9 10 5 8 0 11 	 True 	 0.001219 	 11730 		 36
4 10 0 7 1 2 9 6 5 3 8 11 	 True 	 0.000616 	 5576 		 36
3 7 5 9 1 0 6 2 8 10 4 11 	 True 	 0.000488 	 5948 		 36
10 1 9 4 2 7 8 3 5 0 6 11 	 True 	 0.000429 	 6344 		 36
0 9 3 2 6 1 5 4 10 8 7 11 	 True 	 0.000716 	 11273 		 36
0 4 9 10 1 2 5 6 7 8 3 11 	 True 	 0.000003 	 28 		 10
0 2 3 10 6 9 8 7 1 5 4 11 	 True 	 0.000018 	 235 		 21
6 1 2 3 10 7 8 5 9 4 0 11 	 True 	 0.000018 	 251 		 21
5 2 3 8 10 1 0 4 9 6 7 11 	 True 	 0.000098 	 1644 		 28
10 7 9 0 8 3 2 1 6 5 4 11 	 True 	 0.000009 	 106 		 15
3 4 6 0 1 8 2 10 9 7 5 11 	 True 	 0.000087 	 1447 		 28
0 7 2 6 10 3 9 5 4 1 8 11 	 True 	 0.002698 	 38277 		 45
3 9 10 5 6 7 4 0 2 1 8 11 	 True 	 0.000469 	 7094 		 36
