Instance 		         	 Solved   Time 	   Nodes Expanded   Distance	
-----------------------------------------------------------------------------
2 5 3 9 4 6 1 8 0 7 10 11 	 True 	 0.010878 	 185139 		 53
3 7 0 1 2 8 4 10 9 6 5 11 	 True 	 0.000008 	 103 		 15
1 5 10 4 8 0 2 9 7 6 3 11 	 True 	 0.017171 	 307040 		 54
5 6 3 2 0 4 9 10 1 7 8 11 	 True 	 0.000082 	 1602 		 28
1 3 8 6 0 5 7 10 4 2 9 11 	 True 	 0.008306 	 148514 		 53
9 3 6 5 10 1 8 0 2 7 4 11 	 True 	 0.001686 	 27706 		 45
8 4 9 1 5 2 10 7 0 3 6 11 	 True 	 0.012344 	 181835 		 53
3 9 1 8 0 10 5 2 7 4 6 11 	 True 	 0.012525 	 190858 		 54
0 7 9 4 6 5 10 1 3 2 8 11 	 True 	 0.002566 	 38183 		 44
9 4 5 10 0 7 1 3 6 2 8 11 	 True 	 0.001603 	 24513 		 45
7 1 3 4 5 10 9 8 2 0 6 11 	 True 	 0.002958 	 46282 		 45
5 6 7 0 1 2 8 4 10 9 3 11 	 True 	 0.000025 	 398 		 21
2 6 3 1 5 0 10 9 8 7 4 11 	 True 	 0.013150 	 199104 		 53
8 9 4 2 3 7 0 5 10 1 6 11 	 True 	 0.001779 	 27929 		 43
3 10 1 6 0 8 9 2 7 5 4 11 	 True 	 0.002663 	 41159 		 45
9 3 0 6 10 8 4 1 5 2 7 11 	 True 	 0.011901 	 181633 		 54
1 2 6 4 8 7 5 3 0 10 9 11 	 True 	 0.003050 	 44133 		 45
6 5 3 4 2 0 1 10 7 9 8 11 	 True 	 0.011757 	 208050 		 52
5 3 0 8 1 10 7 9 2 6 4 11 	 True 	 0.009181 	 161347 		 53
0 10 4 8 5 6 3 9 2 1 7 11 	 True 	 0.001290 	 22981 		 43
5 1 8 2 7 9 10 6 3 0 4 11 	 True 	 0.008917 	 159074 		 53
5 6 7 8 2 1 0 4 10 9 3 11 	 True 	 0.000103 	 2126 		 28
2 3 6 1 4 0 10 9 8 7 5 11 	 True 	 0.002122 	 37803 		 44
8 3 7 9 4 10 5 0 2 1 6 11 	 True 	 0.000276 	 4822 		 36
8 5 9 3 4 6 10 0 7 2 1 11 	 True 	 0.000373 	 6775 		 36
9 8 7 6 1 10 0 4 3 5 2 11 	 True 	 0.002320 	 40547 		 45
5 4 3 10 9 2 7 8 0 6 1 11 	 True 	 0.000377 	 6667 		 36
6 3 1 0 2 4 9 7 8 10 5 11 	 True 	 0.002058 	 32658 		 45
1 5 7 9 2 4 3 8 6 10 0 11 	 True 	 0.002039 	 33842 		 45
3 9 5 2 1 4 10 7 6 8 0 11 	 True 	 0.000455 	 8461 		 36
7 5 8 10 4 6 9 1 3 0 2 11 	 True 	 0.038425 	 677087 		 60
3 9 6 7 8 2 1 0 4 10 5 11 	 True 	 0.000666 	 10475 		 36
3 2 5 10 0 1 9 8 4 7 6 11 	 True 	 0.004974 	 81009 		 44
7 2 10 3 0 9 8 4 5 1 6 11 	 True 	 0.002797 	 42819 		 44
9 6 2 0 1 4 10 7 3 8 5 11 	 True 	 0.002188 	 34177 		 45
3 5 9 2 0 8 1 7 6 4 10 11 	 True 	 0.002208 	 34605 		 44
6 7 8 9 0 3 1 10 2 5 4 11 	 True 	 0.000480 	 7878 		 36
9 6 2 10 8 3 7 5 0 1 4 11 	 True 	 0.000986 	 15801 		 42
4 6 8 7 1 3 9 0 10 2 5 11 	 True 	 0.015518 	 239301 		 55
2 1 0 10 9 6 4 7 3 5 8 11 	 True 	 0.002580 	 39115 		 44
10 0 7 8 2 5 9 1 4 6 3 11 	 True 	 0.066113 	 812096 		 60
5 10 9 6 7 8 2 1 0 4 3 11 	 True 	 0.000129 	 1638 		 28
10 0 6 7 2 1 9 5 8 3 4 11 	 True 	 0.005523 	 57589 		 45
