Instance 	          		 Solved   Time 	   Nodes Expanded   Distance	
-----------------------------------------------------------------------------
2 5 3 9 4 6 1 8 0 7 10 11 	 True 	 0.000006 	 80 		 10
3 7 0 1 2 8 4 10 9 6 5 11 	 True 	 0.000000 	 5 		 5
1 5 10 4 8 0 2 9 7 6 3 11 	 True 	 0.000003 	 52 		 10
5 6 3 2 0 4 9 10 1 7 8 11 	 True 	 0.000000 	 8 		 7
1 3 8 6 0 5 7 10 4 2 9 11 	 True 	 0.000003 	 43 		 10
9 3 6 5 10 1 8 0 2 7 4 11 	 True 	 0.000001 	 17 		 9
8 4 9 1 5 2 10 7 0 3 6 11 	 True 	 0.000003 	 40 		 10
3 9 1 8 0 10 5 2 7 4 6 11 	 True 	 0.000003 	 48 		 10
0 7 9 4 6 5 10 1 3 2 8 11 	 True 	 0.000002 	 26 		 9
9 4 5 10 0 7 1 3 6 2 8 11 	 True 	 0.000001 	 14 		 9
7 1 3 4 5 10 9 8 2 0 6 11 	 True 	 0.000001 	 19 		 9
5 6 7 0 1 2 8 4 10 9 3 11 	 True 	 0.000000 	 6 		 6
2 6 3 1 5 0 10 9 8 7 4 11 	 True 	 0.000011 	 159 		 10
8 9 4 2 3 7 0 5 10 1 6 11 	 True 	 0.000002 	 36 		 9
3 10 1 6 0 8 9 2 7 5 4 11 	 True 	 0.000002 	 28 		 9
9 3 0 6 10 8 4 1 5 2 7 11 	 True 	 0.000001 	 22 		 10
1 2 6 4 8 7 5 3 0 10 9 11 	 True 	 0.000001 	 13 		 9
6 5 3 4 2 0 1 10 7 9 8 11 	 True 	 0.000003 	 50 		 10
5 3 0 8 1 10 7 9 2 6 4 11 	 True 	 0.000009 	 143 		 10
0 10 4 8 5 6 3 9 2 1 7 11 	 True 	 0.000001 	 20 		 9
5 1 8 2 7 9 10 6 3 0 4 11 	 True 	 0.000002 	 32 		 10
5 6 7 8 2 1 0 4 10 9 3 11 	 True 	 0.000000 	 7 		 7
