Instance 		         	 Solved   Time 	   Nodes Expanded   Distance	
-----------------------------------------------------------------------------
2 6 5 0 4 7 8 3 9 10 1 11 	 True 	 0.000343 	 5654 		 36
1 7 5 6 10 0 4 3 9 8 2 11 	 True 	 0.002274 	 37713 		 45
3 9 10 5 0 6 8 1 2 4 7 11 	 True 	 0.001993 	 34398 		 44
9 10 1 4 8 3 2 6 7 5 0 11 	 True 	 0.030354 	 449538 		 52
2 6 3 1 9 7 4 10 8 0 5 11 	 True 	 0.001998 	 30149 		 45
7 5 4 0 6 8 3 2 10 1 9 11 	 True 	 0.011975 	 184889 		 51
3 10 2 5 8 6 4 1 0 9 7 11 	 True 	 0.012393 	 190388 		 53
8 7 5 2 3 1 10 0 9 6 4 11 	 True 	 0.002114 	 32151 		 45
8 5 1 7 2 0 10 6 9 3 4 11 	 True 	 0.016526 	 253913 		 55
9 5 8 10 2 7 3 4 1 0 6 11 	 True 	 0.002327 	 35874 		 44
6 3 8 7 0 5 10 9 2 1 4 11 	 True 	 0.000441 	 6845 		 36
1 7 5 6 3 4 0 10 9 8 2 11 	 True 	 0.002635 	 39869 		 45
6 10 9 3 0 2 1 8 5 7 4 11 	 True 	 0.002502 	 28039 		 45
3 2 4 5 0 1 7 6 8 10 9 11 	 True 	 0.046881 	 507853 		 49
1 7 10 5 2 9 8 6 3 0 4 11 	 True 	 0.017242 	 171507 		 53
5 1 8 3 10 4 6 7 9 0 2 11 	 True 	 0.002589 	 32422 		 45
7 1 10 9 8 2 0 4 3 6 5 11 	 True 	 0.000533 	 7150 		 36
9 8 5 6 2 1 0 7 10 3 4 11 	 True 	 0.000707 	 9765 		 36
7 10 0 1 4 2 3 9 6 8 5 11 	 True 	 0.023187 	 318329 		 54
8 9 1 10 5 7 0 3 4 6 2 11 	 True 	 0.000023 	 281 		 21
1 7 4 8 9 0 10 2 3 6 5 11 	 True 	 0.003865 	 49057 		 44
6 5 7 1 3 4 0 10 9 8 2 11 	 True 	 0.002470 	 32784 		 44
0 3 1 2 4 7 5 8 9 10 6 11 	 True 	 0.002140 	 28502 		 43
2 10 9 7 3 1 8 6 4 5 0 11 	 True 	 0.002405 	 32477 		 42
1 8 5 6 3 2 9 4 7 10 0 11 	 True 	 0.011349 	 147916 		 50
1 0 5 10 7 4 9 3 2 8 6 11 	 True 	 0.016162 	 204395 		 52
5 2 8 9 4 6 7 3 0 1 10 11 	 True 	 0.000778 	 10839 		 36
3 2 8 5 1 10 0 7 6 4 9 11 	 True 	 0.013256 	 204126 		 52
3 7 9 1 6 10 5 4 0 2 8 11 	 True 	 0.011075 	 165669 		 53
7 6 8 5 3 10 1 9 4 0 2 11 	 True 	 0.002526 	 38743 		 45
5 9 1 2 6 0 3 10 8 4 7 11 	 True 	 0.009101 	 142543 		 51
6 5 7 1 3 9 10 0 4 8 2 11 	 True 	 0.001656 	 24782 		 44
2 1 6 4 0 3 8 5 9 10 7 11 	 True 	 0.002907 	 41338 		 45
7 0 5 9 10 1 8 6 3 2 4 11 	 True 	 0.020138 	 305601 		 51
4 7 1 5 10 8 2 6 0 3 9 11 	 True 	 0.001972 	 22077 		 45
10 4 0 9 1 8 2 3 6 7 5 11 	 True 	 0.011907 	 172471 		 51
