Instance 		         	 Solved   Time 	   Nodes Expanded   Distance	
-----------------------------------------------------------------------------
2 6 5 0 4 7 8 3 9 10 1 11 	 True 	 0.000001 	 8 		 8
1 7 5 6 10 0 4 3 9 8 2 11 	 True 	 0.000001 	 10 		 9
3 9 10 5 0 6 8 1 2 4 7 11 	 True 	 0.000005 	 46 		 9
9 10 1 4 8 3 2 6 7 5 0 11 	 True 	 0.000040 	 373 		 10
2 6 3 1 9 7 4 10 8 0 5 11 	 True 	 0.000001 	 11 		 9
7 5 4 0 6 8 3 2 10 1 9 11 	 True 	 0.000008 	 77 		 10
3 10 2 5 8 6 4 1 0 9 7 11 	 True 	 0.000004 	 39 		 10
8 7 5 2 3 1 10 0 9 6 4 11 	 True 	 0.000001 	 14 		 9
8 5 1 7 2 0 10 6 9 3 4 11 	 True 	 0.000002 	 25 		 10
9 5 8 10 2 7 3 4 1 0 6 11 	 True 	 0.000004 	 36 		 9
6 3 8 7 0 5 10 9 2 1 4 11 	 True 	 0.000001 	 8 		 8
1 7 5 6 3 4 0 10 9 8 2 11 	 True 	 0.000003 	 31 		 9
6 10 9 3 0 2 1 8 5 7 4 11 	 True 	 0.000001 	 12 		 9
3 2 4 5 0 1 7 6 8 10 9 11 	 True 	 0.000321 	 3269 		 10
1 7 10 5 2 9 8 6 3 0 4 11 	 True 	 0.000008 	 72 		 10
5 1 8 3 10 4 6 7 9 0 2 11 	 True 	 0.000001 	 15 		 9
7 1 10 9 8 2 0 4 3 6 5 11 	 True 	 0.000001 	 11 		 8
9 8 5 6 2 1 0 7 10 3 4 11 	 True 	 0.000002 	 18 		 8
7 10 0 1 4 2 3 9 6 8 5 11 	 True 	 0.000031 	 292 		 10
8 9 1 10 5 7 0 3 4 6 2 11 	 True 	 0.000000 	 6 		 6
1 7 4 8 9 0 10 2 3 6 5 11 	 True 	 0.000002 	 18 		 9
6 5 7 1 3 4 0 10 9 8 2 11 	 True 	 0.000005 	 44 		 9
0 3 1 2 4 7 5 8 9 10 6 11 	 True 	 0.000001 	 15 		 9
2 10 9 7 3 1 8 6 4 5 0 11 	 True 	 0.000002 	 21 		 9
1 8 5 6 3 2 9 4 7 10 0 11 	 True 	 0.000006 	 63 		 10
1 0 5 10 7 4 9 3 2 8 6 11 	 True 	 0.000013 	 122 		 10
5 2 8 9 4 6 7 3 0 1 10 11 	 True 	 0.000001 	 16 		 8
3 2 8 5 1 10 0 7 6 4 9 11 	 True 	 0.000015 	 134 		 10
3 7 9 1 6 10 5 4 0 2 8 11 	 True 	 0.000003 	 34 		 10
7 6 8 5 3 10 1 9 4 0 2 11 	 True 	 0.000001 	 14 		 9
5 9 1 2 6 0 3 10 8 4 7 11 	 True 	 0.000007 	 61 		 10
6 5 7 1 3 9 10 0 4 8 2 11 	 True 	 0.000001 	 11 		 9
2 1 6 4 0 3 8 5 9 10 7 11 	 True 	 0.000003 	 28 		 9
7 0 5 9 10 1 8 6 3 2 4 11 	 True 	 0.000042 	 438 		 10
4 7 1 5 10 8 2 6 0 3 9 11 	 True 	 0.000001 	 9 		 9
10 4 0 9 1 8 2 3 6 7 5 11 	 True 	 0.000014 	 137 		 10
9 8 10 3 2 0 4 6 1 7 5 11 	 True 	 0.000020 	 184 		 10
6 8 4 10 1 2 0 7 3 5 9 11 	 True 	 0.000017 	 168 		 10
6 9 0 8 2 3 1 10 7 4 5 11 	 True 	 0.000009 	 88 		 9
8 1 7 2 4 6 5 10 3 0 9 11 	 True 	 0.000001 	 10 		 9
0 4 7 10 5 6 9 2 1 8 3 11 	 True 	 0.000001 	 14 		 9
1 7 5 6 3 9 10 0 4 8 2 11 	 True 	 0.000002 	 24 		 10
7 6 8 0 3 4 5 9 10 2 1 11 	 True 	 0.000000 	 7 		 7
8 0 9 7 2 5 1 4 3 10 6 11 	 True 	 0.000001 	 13 		 10
9 8 3 7 2 10 0 6 5 4 1 11 	 True 	 0.000010 	 93 		 10
9 6 1 4 0 10 2 8 5 3 7 11 	 True 	 0.000004 	 32 		 10
10 0 4 2 6 5 3 9 8 7 1 11 	 True 	 0.000007 	 64 		 10
2 10 0 5 8 4 6 9 1 7 3 11 	 True 	 0.000032 	 292 		 11
7 6 9 1 8 0 3 4 10 2 5 11 	 True 	 0.000001 	 9 		 9
4 3 10 2 6 0 7 8 1 9 5 11 	 True 	 0.000000 	 9 		 9
2 5 9 1 0 7 10 4 6 8 3 11 	 True 	 0.000001 	 9 		 9
2 8 7 5 6 3 9 10 0 4 1 11 	 True 	 0.000001 	 11 		 9
8 7 5 4 10 9 6 2 3 0 1 11 	 True 	 0.000000 	 8 		 8
8 10 5 9 0 2 7 4 3 1 6 11 	 True 	 0.000025 	 230 		 10
7 6 9 3 10 0 5 8 1 2 4 11 	 True 	 0.000003 	 29 		 9
2 7 1 5 0 3 10 9 4 6 8 11 	 True 	 0.000004 	 34 		 9
9 4 2 8 1 3 7 0 6 5 10 11 	 True 	 0.000004 	 37 		 9
0 6 4 7 5 10 2 9 3 8 1 11 	 True 	 0.000003 	 26 		 10
7 1 10 8 6 9 5 2 4 3 0 11 	 True 	 0.000003 	 23 		 9
3 10 1 6 5 2 0 4 9 8 7 11 	 True 	 0.000000 	 7 		 7
10 7 4 2 9 1 8 5 0 6 3 11 	 True 	 0.000001 	 16 		 9
2 8 7 5 10 9 3 6 0 4 1 11 	 True 	 0.000002 	 25 		 10
1 0 3 8 4 9 10 7 6 5 2 11 	 True 	 0.000002 	 21 		 9
10 8 3 1 9 4 7 6 5 0 2 11 	 True 	 0.000001 	 10 		 8
2 10 4 6 1 8 9 3 5 0 7 11 	 True 	 0.000008 	 74 		 10
6 4 2 8 3 9 1 10 7 0 5 11 	 True 	 0.000007 	 66 		 10
1 7 6 4 8 9 3 2 5 10 0 11 	 True 	 0.000001 	 9 		 8
2 9 10 0 4 8 5 7 6 1 3 11 	 True 	 0.000001 	 9 		 8
3 8 5 7 9 10 0 1 4 6 2 11 	 True 	 0.000007 	 65 		 10
3 5 2 1 0 7 4 9 8 6 10 11 	 True 	 0.000001 	 7 		 7
10 3 8 1 4 7 6 9 0 2 5 11 	 True 	 0.000007 	 70 		 9
8 3 0 1 4 10 9 7 5 6 2 11 	 True 	 0.000002 	 24 		 9
10 7 4 5 6 3 1 2 9 8 0 11 	 True 	 0.000000 	 7 		 7
3 0 1 10 6 8 2 7 5 4 9 11 	 True 	 0.000004 	 38 		 9
0 3 9 1 5 2 7 4 10 8 6 11 	 True 	 0.000005 	 47 		 10
8 3 6 1 5 2 9 7 0 4 10 11 	 True 	 0.000001 	 13 		 9
2 4 9 6 0 8 7 5 10 3 1 11 	 True 	 0.000001 	 14 		 10
7 8 5 2 10 6 3 4 1 0 9 11 	 True 	 0.000001 	 8 		 8
2 9 5 8 7 3 0 1 4 10 6 11 	 True 	 0.000001 	 11 		 9
9 0 1 6 4 7 3 8 5 2 10 11 	 True 	 0.000014 	 126 		 10
2 8 3 6 5 7 9 10 0 4 1 11 	 True 	 0.000005 	 41 		 10
7 9 6 2 8 4 0 1 3 10 5 11 	 True 	 0.000001 	 16 		 9
6 2 3 4 8 0 1 9 5 7 10 11 	 True 	 0.000001 	 15 		 8
