Instance 	                  		 Solved   Time 	   Nodes Expanded   Distance	
-----------------------------------------------------------------------------
12 10 1 7 5 3 11 2 0 9 8 6 4 13 	 True 	 0.002452 	 26607 		 13
0 12 1 5 2 6 7 10 9 11 4 3 8 13 	 True 	 0.000197 	 1850 		 11
3 12 5 10 11 2 9 8 4 1 0 7 6 13 	 True 	 0.000001 	 9 		 8
9 6 0 11 3 5 10 7 12 8 2 1 4 13 	 True 	 0.000837 	 7676 		 12
0 7 5 6 12 9 8 2 4 11 1 3 10 13 	 True 	 0.000107 	 950 		 11
12 11 1 5 6 0 10 8 3 7 4 9 2 13 	 True 	 0.000371 	 3416 		 11
4 0 11 9 3 2 12 8 10 1 6 5 7 13 	 True 	 0.000323 	 4336 		 12
12 3 4 11 10 2 8 0 7 6 1 5 9 13 	 True 	 0.000057 	 737 		 11
10 5 12 11 8 2 6 7 0 3 9 1 4 13 	 True 	 0.000694 	 9345 		 12
7 3 9 6 1 4 11 5 2 8 0 10 12 13 	 True 	 0.000002 	 15 		 9
1 10 12 0 2 9 7 11 8 5 3 4 6 13 	 True 	 0.001194 	 15535 		 12
0 12 1 4 10 6 2 5 9 11 7 3 8 13 	 True 	 0.000345 	 4435 		 12
10 11 8 6 1 2 9 0 4 3 7 12 5 13 	 True 	 0.000075 	 1004 		 11
1 12 7 5 2 9 3 0 8 10 11 6 4 13 	 True 	 0.001373 	 18369 		 13
2 0 6 5 11 10 9 8 1 7 3 4 12 13 	 True 	 0.000118 	 1638 		 11
6 1 8 10 5 9 2 11 7 4 12 3 0 13 	 True 	 0.000112 	 1390 		 12
11 6 7 0 12 3 2 4 9 10 5 1 8 13 	 True 	 0.001124 	 15399 		 12
7 8 9 0 4 6 2 3 5 10 11 1 12 13 	 True 	 0.000004 	 52 		 10
7 0 11 10 12 3 9 5 1 4 6 8 2 13 	 True 	 0.000164 	 2134 		 12
6 5 10 12 2 3 11 0 7 9 1 4 8 13 	 True 	 0.000008 	 94 		 10
1 10 12 0 2 9 5 8 11 7 3 4 6 13 	 True 	 0.000112 	 1439 		 11
0 12 1 4 8 2 9 10 11 6 5 3 7 13 	 True 	 0.000082 	 1047 		 11
4 11 9 5 1 2 3 7 0 8 10 12 6 13 	 True 	 0.002464 	 34649 		 13
1 3 8 5 2 0 7 10 11 9 12 6 4 13 	 True 	 0.000418 	 5671 		 12
7 6 12 1 3 4 10 5 0 2 8 9 11 13 	 True 	 0.000347 	 4687 		 11
3 6 11 0 8 7 1 5 4 10 9 12 2 13 	 True 	 0.000166 	 2184 		 11
8 0 5 12 10 9 1 7 6 4 11 3 2 13 	 True 	 0.000176 	 2378 		 11
7 3 10 4 1 8 2 9 11 0 6 12 5 13 	 True 	 0.000396 	 4877 		 12
7 4 2 5 8 12 6 11 1 9 10 3 0 13 	 True 	 0.000847 	 10733 		 12
0 5 9 1 8 12 3 4 10 11 7 2 6 13 	 True 	 0.000054 	 677 		 11
1 10 9 2 0 12 5 8 11 6 4 3 7 13 	 True 	 0.000043 	 547 		 11
7 5 8 3 11 10 6 2 4 9 1 12 0 13 	 True 	 0.000015 	 164 		 11
5 6 8 2 7 1 4 3 10 9 12 0 11 13 	 True 	 0.000035 	 456 		 11
0 11 8 10 3 1 7 5 6 12 2 4 9 13 	 True 	 0.000004 	 49 		 10
6 5 8 12 2 4 9 0 7 11 1 3 10 13 	 True 	 0.000270 	 3674 		 12
5 10 7 6 1 0 9 2 3 12 11 8 4 13 	 True 	 0.000006 	 77 		 10
12 11 5 9 6 4 7 1 10 2 0 8 3 13 	 True 	 0.000632 	 8448 		 12
10 9 7 4 12 8 1 6 11 5 3 2 0 13 	 True 	 0.000298 	 4022 		 12
0 1 3 10 9 7 5 4 11 12 8 2 6 13 	 True 	 0.000150 	 2080 		 11
6 0 9 11 3 8 5 2 7 12 10 4 1 13 	 True 	 0.000284 	 3676 		 12
1 10 9 2 0 12 5 8 3 4 6 11 7 13 	 True 	 0.000344 	 4690 		 12
7 5 9 6 11 3 8 2 4 10 1 12 0 13 	 True 	 0.000407 	 5103 		 12
2 3 6 12 4 8 1 7 9 10 5 0 11 13 	 True 	 0.000419 	 5364 		 12
0 11 1 4 3 9 2 12 5 8 7 6 10 13 	 True 	 0.000004 	 51 		 9
5 9 6 7 0 4 1 10 11 8 3 2 12 13 	 True 	 0.000040 	 495 		 11
0 4 2 1 11 3 7 12 6 8 5 9 10 13 	 True 	 0.000496 	 6243 		 12
6 11 7 8 10 5 2 4 3 12 1 9 0 13 	 True 	 0.000130 	 1731 		 11
9 11 1 5 0 12 2 8 3 4 7 6 10 13 	 True 	 0.000028 	 347 		 10
9 12 10 11 2 4 0 7 5 6 3 8 1 13 	 True 	 0.000064 	 864 		 11
3 6 0 2 4 8 11 7 10 12 9 5 1 13 	 True 	 0.000940 	 12735 		 12
7 9 2 0 12 5 8 3 4 6 11 10 1 13 	 True 	 0.000101 	 1306 		 11
5 8 4 6 10 2 9 3 1 7 11 0 12 13 	 True 	 0.000256 	 3111 		 12
9 2 7 4 12 8 6 10 5 1 0 3 11 13 	 True 	 0.000093 	 1215 		 11
3 10 11 9 4 7 0 12 2 8 1 5 6 13 	 True 	 0.000004 	 45 		 10
8 0 12 4 3 11 10 7 6 2 9 1 5 13 	 True 	 0.000233 	 3206 		 11
4 10 6 9 11 2 3 0 5 12 8 7 1 13 	 True 	 0.000018 	 224 		 11
3 6 11 12 5 4 10 0 2 8 7 1 9 13 	 True 	 0.000022 	 275 		 10
0 1 12 2 4 11 5 6 7 3 9 10 8 13 	 True 	 0.000022 	 269 		 10
12 10 11 4 2 7 6 9 5 1 8 0 3 13 	 True 	 0.000318 	 4113 		 12
6 9 3 11 4 1 10 12 2 8 0 7 5 13 	 True 	 0.003338 	 38747 		 13
0 12 5 8 6 11 10 2 1 4 3 9 7 13 	 True 	 0.002399 	 23853 		 12
5 3 4 8 9 1 6 10 11 0 12 7 2 13 	 True 	 0.000086 	 1107 		 11
4 10 12 5 7 2 8 3 11 6 9 1 0 13 	 True 	 0.000003 	 33 		 10
6 11 12 9 7 2 0 1 4 8 10 5 3 13 	 True 	 0.000069 	 960 		 11
10 5 12 2 0 6 11 1 3 4 8 9 7 13 	 True 	 0.000017 	 206 		 10
2 9 0 1 6 8 12 4 7 3 11 10 5 13 	 True 	 0.000385 	 5002 		 12
8 12 6 0 11 9 1 10 2 5 3 7 4 13 	 True 	 0.000535 	 7006 		 12
7 12 10 4 9 2 6 3 0 1 5 11 8 13 	 True 	 0.001465 	 20443 		 13
0 2 4 9 1 3 6 8 12 10 11 5 7 13 	 True 	 0.000067 	 879 		 11
3 12 0 2 7 4 5 9 8 11 10 6 1 13 	 True 	 0.005154 	 70579 		 13
8 7 9 10 11 6 1 4 3 0 2 12 5 13 	 True 	 0.000011 	 148 		 10
7 6 10 4 12 1 5 9 11 3 8 2 0 13 	 True 	 0.000190 	 2348 		 12
8 4 6 0 5 9 12 10 2 3 11 1 7 13 	 True 	 0.000019 	 225 		 11
0 4 12 1 3 9 8 5 2 11 7 10 6 13 	 True 	 0.000049 	 600 		 11
0 8 1 9 11 4 6 7 12 2 10 5 3 13 	 True 	 0.000520 	 6819 		 12
11 2 8 4 1 0 12 7 3 6 5 10 9 13 	 True 	 0.001501 	 20020 		 12
8 9 4 6 3 7 0 12 5 11 1 10 2 13 	 True 	 0.000274 	 3444 		 12
6 8 7 3 1 12 2 11 9 0 10 5 4 13 	 True 	 0.000228 	 2857 		 12
9 0 11 5 2 4 8 12 10 1 6 3 7 13 	 True 	 0.000303 	 4040 		 12
12 4 2 10 5 9 7 3 1 11 8 6 0 13 	 True 	 0.000267 	 3472 		 12
5 3 0 8 7 9 10 11 6 2 12 4 1 13 	 True 	 0.000067 	 890 		 11
11 2 1 12 4 0 7 9 10 3 5 8 6 13 	 True 	 0.000273 	 3637 		 12
0 8 4 12 11 5 9 2 7 6 10 3 1 13 	 True 	 0.000035 	 439 		 11
9 0 12 5 2 4 3 8 11 1 10 7 6 13 	 True 	 0.000277 	 3656 		 12
1 2 10 11 3 9 8 4 5 6 12 0 7 13 	 True 	 0.000009 	 118 		 9
8 11 5 9 6 10 7 4 3 1 12 2 0 13 	 True 	 0.000022 	 265 		 11
3 10 9 1 12 5 11 6 4 2 8 0 7 13 	 True 	 0.000912 	 11629 		 13
9 6 2 11 3 12 10 0 4 5 7 1 8 13 	 True 	 0.000234 	 3094 		 12
5 0 4 12 1 11 2 9 7 6 10 8 3 13 	 True 	 0.000999 	 12836 		 12
1 0 11 3 8 10 4 7 5 9 12 6 2 13 	 True 	 0.000833 	 10557 		 12
8 0 3 5 7 6 11 10 9 2 12 4 1 13 	 True 	 0.000018 	 225 		 10
