Instance 		                 	 Solved   Time 	   Nodes Expanded   Distance	
-----------------------------------------------------------------------------
3 12 9 10 0 7 1 11 8 6 5 2 4 13 	 True 	 0.000246 	 2718 		 12
8 5 2 3 7 9 6 12 0 4 11 1 10 13 	 True 	 0.000127 	 1430 		 12
8 0 4 3 12 6 2 10 5 7 11 9 1 13 	 True 	 0.000187 	 2160 		 12
9 5 7 2 4 12 8 11 10 3 0 6 1 13 	 True 	 0.000296 	 2763 		 12
9 10 6 4 0 1 8 7 11 12 5 2 3 13 	 True 	 0.000000 	 7 		 7
6 3 2 4 10 0 9 1 11 12 8 5 7 13 	 True 	 0.001903 	 21095 		 13
12 4 8 1 5 11 0 9 7 10 6 3 2 13 	 True 	 0.000058 	 628 		 11
6 1 0 3 11 7 2 4 12 5 8 9 10 13 	 True 	 0.000101 	 969 		 11
6 3 10 8 7 5 1 4 0 11 12 9 2 13 	 True 	 0.000750 	 8941 		 12
8 3 6 11 9 7 0 4 10 12 2 5 1 13 	 True 	 0.001245 	 14232 		 12
3 12 9 10 0 7 1 5 6 8 11 2 4 13 	 True 	 0.000362 	 4952 		 12
9 5 2 3 10 8 11 1 12 6 4 0 7 13 	 True 	 0.000053 	 679 		 11
11 0 6 2 9 12 5 8 7 10 1 4 3 13 	 True 	 0.000008 	 103 		 10
12 0 4 2 11 5 10 8 1 3 6 9 7 13 	 True 	 0.000951 	 12514 		 12
0 12 5 10 1 3 11 7 2 6 8 9 4 13 	 True 	 0.000119 	 1459 		 11
1 3 0 9 7 2 10 4 5 12 11 8 6 13 	 True 	 0.000098 	 1248 		 11
4 8 5 9 7 3 0 6 10 12 11 2 1 13 	 True 	 0.000634 	 8421 		 12
11 12 5 8 4 1 2 0 10 7 9 6 3 13 	 True 	 0.000247 	 3356 		 11
0 1 8 11 3 7 2 4 9 5 6 12 10 13 	 True 	 0.000054 	 678 		 11
7 4 5 10 6 2 12 3 1 0 8 11 9 13 	 True 	 0.000024 	 293 		 10
4 2 12 9 10 0 7 1 5 6 8 11 3 13 	 True 	 0.000368 	 5089 		 12
8 12 5 10 6 9 11 4 3 1 2 0 7 13 	 True 	 0.000154 	 1073 		 11
1 3 9 8 0 2 10 12 5 11 4 6 7 13 	 True 	 0.000636 	 8307 		 12
9 5 0 7 11 2 6 10 4 1 3 8 12 13 	 True 	 0.000238 	 3018 		 12
7 9 10 4 1 12 0 8 6 11 3 2 5 13 	 True 	 0.000187 	 2473 		 12
0 5 9 7 3 12 11 1 2 6 8 10 4 13 	 True 	 0.000065 	 880 		 11
9 7 3 4 11 1 6 0 12 5 10 8 2 13 	 True 	 0.000020 	 234 		 10
1 8 9 4 7 2 5 12 10 3 0 6 11 13 	 True 	 0.000216 	 2874 		 12
1 10 3 11 8 5 2 4 12 9 0 7 6 13 	 True 	 0.000590 	 7795 		 12
8 3 5 4 6 11 1 9 2 7 0 10 12 13 	 True 	 0.001339 	 17893 		 12
4 2 0 10 1 7 12 9 5 6 8 11 3 13 	 True 	 0.000849 	 11211 		 12
6 0 4 12 8 5 9 11 3 7 1 2 10 13 	 True 	 0.000023 	 310 		 11
2 7 1 6 4 11 12 3 9 10 0 5 8 13 	 True 	 0.000256 	 3571 		 12
9 12 3 8 10 5 7 0 6 4 1 11 2 13 	 True 	 0.000226 	 3109 		 12
12 9 5 10 3 4 6 0 1 2 7 8 11 13 	 True 	 0.000009 	 112 		 10
1 5 10 2 12 7 3 11 8 6 9 4 0 13 	 True 	 0.000165 	 2015 		 12
5 3 7 11 10 1 6 0 2 8 9 4 12 13 	 True 	 0.000505 	 6745 		 12
4 5 0 9 7 1 8 11 6 3 10 12 2 13 	 True 	 0.001070 	 14325 		 12
3 12 0 8 9 11 6 1 4 10 2 7 5 13 	 True 	 0.000168 	 2293 		 12
0 5 11 8 10 4 7 1 2 3 12 6 9 13 	 True 	 0.000567 	 7874 		 12
3 11 2 0 10 1 7 12 9 5 6 8 4 13 	 True 	 0.000370 	 4786 		 12
11 3 12 5 10 6 9 0 1 4 8 2 7 13 	 True 	 0.000131 	 1689 		 12
3 8 2 6 4 7 0 1 10 11 12 5 9 13 	 True 	 0.000089 	 1169 		 11
2 12 9 1 11 4 8 6 3 7 10 0 5 13 	 True 	 0.000741 	 8618 		 12
0 8 12 11 3 9 10 6 5 1 2 7 4 13 	 True 	 0.000066 	 923 		 10
5 3 10 12 1 6 4 11 7 0 9 2 8 13 	 True 	 0.000245 	 3189 		 12
8 7 6 10 1 4 9 3 11 2 0 12 5 13 	 True 	 0.000085 	 1065 		 11
4 10 12 9 6 1 0 8 7 2 3 5 11 13 	 True 	 0.000280 	 4079 		 11
1 5 10 3 8 2 4 9 11 12 7 6 0 13 	 True 	 0.000273 	 3389 		 12
2 6 10 9 8 4 11 3 1 5 12 0 7 13 	 True 	 0.000385 	 5196 		 12
0 2 11 3 10 1 7 12 9 5 6 8 4 13 	 True 	 0.000293 	 3789 		 12
11 0 12 5 10 6 9 3 8 1 7 2 4 13 	 True 	 0.000730 	 9365 		 13
3 4 6 2 8 9 7 11 1 0 10 5 12 13 	 True 	 0.000014 	 192 		 10
3 12 1 11 7 5 4 9 2 6 0 10 8 13 	 True 	 0.000427 	 5641 		 12
9 11 12 4 1 2 6 10 5 3 7 8 0 13 	 True 	 0.000314 	 4282 		 11
5 8 9 11 3 1 7 0 10 6 12 4 2 13 	 True 	 0.000048 	 603 		 11
9 7 5 1 4 8 11 2 10 3 6 12 0 13 	 True 	 0.000193 	 2430 		 12
3 8 2 6 9 1 12 7 4 11 10 5 0 13 	 True 	 0.000389 	 5036 		 12
2 6 1 12 10 7 0 3 11 9 5 8 4 13 	 True 	 0.000016 	 194 		 11
11 5 0 6 2 12 1 7 10 4 9 3 8 13 	 True 	 0.000551 	 6877 		 12
4 3 11 1 10 8 2 7 6 5 9 12 0 13 	 True 	 0.000563 	 7684 		 12
8 3 0 4 7 9 1 2 11 5 12 10 6 13 	 True 	 0.000511 	 6488 		 12
9 3 12 7 8 4 6 2 5 11 10 0 1 13 	 True 	 0.000102 	 1321 		 11
2 3 7 9 10 4 12 5 0 8 6 11 1 13 	 True 	 0.000287 	 3583 		 12
