Please enter a test file followed by ENTER: Instance 			 Solved   Time 	   Nodes Expanded   Distance	
-----------------------------------------------------------------------------
3 4 5 6 7 8 9 10 11 12 13 14 15 2 1 0 16 	 True 	 0.000000 	 1 		 1
1 2 14 15 0 13 3 4 5 6 7 8 9 10 11 12 16 	 True 	 0.000000 	 3 		 3
15 6 10 9 8 7 11 1 14 13 12 0 3 2 5 4 16 	 True 	 0.000001 	 19 		 5
0 5 6 10 9 8 7 11 12 13 14 15 2 1 4 3 16 	 True 	 0.000000 	 9 		 3
0 2 1 14 13 3 4 5 6 7 8 9 10 11 12 15 16 	 True 	 0.000000 	 3 		 3
0 13 12 15 14 1 7 6 5 2 3 4 8 9 10 11 16 	 True 	 0.000000 	 5 		 5
4 5 1 0 3 2 9 8 7 6 10 11 12 13 14 15 16 	 True 	 0.000000 	 6 		 3
2 7 6 5 1 8 9 10 14 13 12 11 0 4 3 15 16 	 True 	 0.000001 	 19 		 5
3 2 1 0 4 5 6 7 13 14 10 8 9 11 12 15 16 	 True 	 0.000001 	 16 		 5
3 2 1 0 4 5 8 7 6 11 12 10 9 13 14 15 16 	 True 	 0.000005 	 96 		 5
2 1 14 15 6 5 4 3 7 11 12 8 9 10 13 0 16 	 True 	 0.000000 	 5 		 5
0 1 2 3 4 5 6 11 12 8 7 10 9 13 14 15 16 	 True 	 0.000000 	 2 		 2
8 7 6 15 9 10 11 12 13 14 1 0 3 2 5 4 16 	 True 	 0.000000 	 4 		 4
3 2 4 5 6 7 8 9 10 14 13 12 11 15 1 0 16 	 True 	 0.000000 	 13 		 4
0 13 9 15 14 4 3 5 6 7 2 1 8 12 11 10 16 	 True 	 0.000001 	 19 		 6
4 5 1 0 3 2 6 7 8 9 10 11 12 13 14 15 16 	 True 	 0.000000 	 2 		 2
2 7 6 5 1 8 9 10 14 13 4 0 11 12 3 15 16 	 True 	 0.000001 	 26 		 6
0 1 2 3 4 5 6 7 10 9 8 13 14 12 11 15 16 	 True 	 0.000000 	 4 		 4
15 14 1 2 8 5 4 3 7 11 9 10 6 12 13 0 16 	 True 	 0.000013 	 342 		 6
15 14 2 5 4 0 1 6 13 9 11 12 7 8 10 3 16 	 True 	 0.000002 	 39 		 6
4 5 6 7 8 1 10 13 14 12 11 9 0 3 2 15 16 	 True 	 0.000001 	 14 		 6
15 2 3 4 5 6 11 12 8 7 10 9 13 14 1 0 16 	 True 	 0.000000 	 3 		 3
7 8 9 10 11 12 13 14 15 2 1 4 3 6 5 0 16 	 True 	 0.000000 	 3 		 3
15 3 2 1 6 5 4 14 7 8 9 10 11 12 13 0 16 	 True 	 0.000000 	 3 		 3
1 7 6 2 5 8 9 10 14 13 12 11 4 3 0 15 16 	 True 	 0.000002 	 42 		 7
0 1 2 3 4 5 6 7 13 9 8 10 14 11 12 15 16 	 True 	 0.000000 	 9 		 5
15 14 1 2 8 5 4 3 7 11 12 6 10 9 13 0 16 	 True 	 0.000019 	 589 		 7
3 2 5 4 0 1 6 10 7 11 12 9 8 13 14 15 16 	 True 	 0.000003 	 71 		 5
0 1 2 3 4 5 6 7 14 10 12 13 8 9 11 15 16 	 True 	 0.000000 	 3 		 3
0 4 3 2 1 7 8 9 5 6 10 11 12 13 14 15 16 	 True 	 0.000000 	 7 		 3
4 5 6 11 12 8 7 10 1 14 13 9 0 3 2 15 16 	 True 	 0.000000 	 5 		 5
15 2 5 6 7 11 10 9 8 1 14 13 12 0 3 4 16 	 True 	 0.000000 	 5 		 5
15 14 4 3 5 6 7 2 1 8 12 11 10 9 13 0 16 	 True 	 0.000000 	 11 		 5
14 4 3 13 2 5 6 7 11 10 0 1 8 9 15 12 16 	 True 	 0.000003 	 46 		 9
0 1 2 3 4 5 10 7 6 8 9 13 14 12 11 15 16 	 True 	 0.000071 	 1747 		 7
0 13 1 5 6 15 14 4 12 11 9 8 3 7 10 2 16 	 True 	 0.000000 	 10 		 9
15 2 3 4 5 6 7 8 1 10 13 14 12 11 9 0 16 	 True 	 0.000000 	 7 		 5
0 4 3 2 1 7 8 9 5 6 10 13 14 15 11 12 16 	 True 	 0.000003 	 79 		 5
12 11 0 4 2 1 15 3 8 7 6 13 10 9 5 14 16 	 True 	 0.000009 	 166 		 9
6 3 7 8 5 4 9 14 15 11 10 1 2 12 13 0 16 	 True 	 0.000002 	 40 		 7
15 6 11 12 8 7 10 1 14 13 9 0 3 2 5 4 16 	 True 	 0.000000 	 6 		 6
0 6 5 4 1 10 9 8 7 11 12 13 14 15 2 3 16 	 True 	 0.000000 	 11 		 4
14 1 13 0 15 12 2 5 6 7 3 4 8 9 10 11 16 	 True 	 0.000000 	 6 		 6
5 6 7 2 1 8 9 10 4 3 12 14 13 11 0 15 16 	 True 	 0.000054 	 1208 		 10
1 2 14 15 8 5 4 0 7 10 9 6 11 12 13 3 16 	 True 	 0.000721 	 20303 		 10
4 3 2 6 10 14 12 8 13 7 11 9 15 5 1 0 16 	 True 	 0.000010 	 253 		 8
15 1 0 13 14 4 5 6 2 3 7 8 9 10 11 12 16 	 True 	 0.000000 	 4 		 4
14 13 0 4 3 12 1 2 8 7 6 15 10 9 5 11 16 	 True 	 0.000048 	 1146 		 10
5 3 4 8 6 7 9 14 15 11 10 1 2 12 13 0 16 	 True 	 0.000006 	 147 		 8
2 4 0 14 15 8 7 6 5 12 11 10 9 1 13 3 16 	 True 	 0.000001 	 24 		 8
15 6 11 12 8 7 10 9 13 14 1 0 3 2 5 4 16 	 True 	 0.000000 	 5 		 5
3 2 6 5 4 9 8 7 1 10 11 12 13 14 15 0 16 	 True 	 0.000000 	 5 		 5
14 2 13 3 7 6 5 4 11 10 9 8 12 15 0 1 16 	 True 	 0.000000 	 11 		 7
0 4 3 2 1 5 14 9 8 6 7 10 13 11 15 12 16 	 True 	 0.000018 	 473 		 9
0 13 1 5 6 15 14 4 12 3 9 8 11 10 7 2 16 	 True 	 0.000108 	 2317 		 11
15 2 3 4 5 8 1 11 6 9 14 13 7 10 12 0 16 	 True 	 0.000001 	 24 		 7
2 1 0 4 3 8 7 6 5 12 11 15 10 9 13 14 16 	 True 	 0.000042 	 997 		 9
13 1 0 5 3 4 6 7 11 12 8 9 10 2 14 15 16 	 True 	 0.000011 	 230 		 9
3 12 1 2 4 0 11 15 9 10 6 5 13 14 7 8 16 	 True 	 0.000017 	 370 		 9
0 6 5 4 11 8 7 1 12 14 2 15 10 13 9 3 16 	 True 	 0.000115 	 2400 		 11
15 7 10 9 13 14 1 0 3 2 5 4 11 6 8 12 16 	 True 	 0.000001 	 23 		 7
12 2 11 0 15 10 1 3 4 5 14 13 6 7 8 9 16 	 True 	 0.000002 	 34 		 9
2 7 6 5 1 8 4 10 9 14 13 12 3 11 0 15 16 	 True 	 0.006869 	 142042 		 13
6 15 14 4 12 13 9 7 10 3 8 11 0 5 1 2 16 	 True 	 0.009322 	 165412 		 13
13 0 1 15 14 2 6 5 4 3 7 10 9 8 12 11 16 	 True 	 0.000003 	 42 		 7
12 4 0 5 2 1 6 8 13 14 7 11 3 10 9 15 16 	 True 	 0.017138 	 267804 		 13
3 13 4 0 14 15 8 5 12 1 7 11 10 9 6 2 16 	 True 	 0.004586 	 69174 		 13
2 9 10 3 4 0 7 6 5 1 8 12 11 14 13 15 16 	 True 	 0.000007 	 105 		 7
6 5 14 10 15 1 12 0 8 4 9 2 11 7 13 3 16 	 True 	 0.002025 	 29189 		 13
11 0 1 2 15 4 5 8 9 10 6 7 12 13 14 3 16 	 True 	 0.000139 	 2104 		 9
15 10 7 8 6 9 13 14 1 0 3 2 5 4 11 12 16 	 True 	 0.000004 	 67 		 8
