Please enter a test file followed by ENTER: Instance 			 Solved   Time 	   Nodes Expanded   Distance	
-----------------------------------------------------------------------------
0 7 3 4 1 2 13 8 9 14 11 10 5 12 6 15 16 	 True 	 0.139340 	 1607141 		 14
4 6 9 13 12 2 11 10 15 5 14 3 1 8 0 7 16 	 True 	 2.238306 	 21114173 		 16
6 7 9 5 4 14 12 13 15 1 2 0 11 10 8 3 16 	 True 	 0.455667 	 4506842 		 14
3 1 6 2 4 7 14 15 5 9 13 10 12 8 0 11 16 	 True 	 0.240787 	 1978574 		 14
14 5 15 9 7 6 0 8 3 13 4 11 2 12 10 1 16 	 True 	 0.053585 	 598334 		 14
15 0 7 10 4 6 12 8 11 5 9 14 2 1 13 3 16 	 True 	 0.014750 	 135676 		 13
4 10 1 11 8 13 7 14 3 2 5 9 15 6 0 12 16 	 True 	 0.470707 	 4458450 		 15
4 11 12 7 1 13 10 15 2 14 9 8 6 3 0 5 16 	 True 	 0.530518 	 4806220 		 15
3 11 7 4 9 0 1 14 6 10 5 8 15 12 2 13 16 	 True 	 1.130283 	 10331005 		 15
13 8 0 6 12 1 3 2 10 11 9 5 4 14 15 7 16 	 True 	 0.368178 	 3834378 		 15
0 12 2 1 6 8 3 4 7 5 11 9 14 15 10 13 16 	 True 	 0.043860 	 498299 		 13
7 9 13 12 2 11 10 15 5 14 3 1 8 0 6 4 16 	 True 	 0.775460 	 8903421 		 15
5 6 8 4 3 13 11 12 0 14 1 15 10 9 7 2 16 	 True 	 0.045114 	 379553 		 14
11 4 7 1 0 2 6 14 15 5 9 13 10 12 8 3 16 	 True 	 0.474210 	 4920333 		 15
4 1 12 3 11 2 0 10 8 7 14 5 9 15 13 6 16 	 True 	 0.680859 	 7103236 		 15
7 14 5 3 0 12 15 13 8 9 2 11 1 10 4 6 16 	 True 	 2.262578 	 24266588 		 16
8 13 4 11 2 10 14 1 9 7 6 0 15 3 5 12 16 	 True 	 0.019624 	 235569 		 14
5 6 3 4 0 8 11 7 9 14 13 1 10 2 12 15 16 	 True 	 0.241806 	 2339435 		 14
1 6 2 7 15 10 0 5 14 11 12 9 8 4 13 3 16 	 True 	 0.140308 	 1644002 		 14
12 3 15 4 9 8 10 14 11 6 5 1 0 2 7 13 16 	 True 	 0.852528 	 9614005 		 15
3 15 10 1 2 5 14 6 12 11 8 9 7 0 4 13 16 	 True 	 0.359083 	 3709120 		 15
12 2 11 10 15 5 14 3 1 8 0 6 4 13 9 7 16 	 True 	 0.977456 	 10370916 		 15
1 5 3 8 10 0 2 9 15 11 14 12 7 6 4 13 16 	 True 	 1.711887 	 18412437 		 15
2 6 1 4 15 14 10 13 9 3 12 8 0 7 5 11 16 	 True 	 0.978881 	 10806313 		 15
1 14 6 0 7 4 8 12 3 15 13 5 2 11 10 9 16 	 True 	 0.849712 	 8342486 		 15
6 13 4 9 14 10 7 5 0 3 2 11 8 15 12 1 16 	 True 	 6.914067 	 76733935 		 16
15 1 7 5 10 3 11 4 2 0 13 6 9 12 8 14 16 	 True 	 0.789744 	 8701394 		 15
2 3 15 0 6 9 12 13 11 7 5 14 4 8 1 10 16 	 True 	 0.324703 	 3346782 		 15
6 2 5 13 12 10 3 9 4 14 0 11 15 7 8 1 16 	 True 	 0.861177 	 9579811 		 15
10 5 7 11 2 15 4 0 12 6 13 3 1 8 9 14 16 	 True 	 0.055612 	 659077 		 14
12 7 1 13 5 0 14 2 8 11 4 15 3 6 10 9 16 	 True 	 0.834000 	 8732308 		 15
12 2 11 10 15 6 3 14 5 0 8 1 4 13 9 7 16 	 True 	 1.342576 	 15038186 		 16
13 4 8 3 11 9 0 2 10 15 5 7 6 12 14 1 16 	 True 	 0.719836 	 7679114 		 15
12 14 1 2 4 10 11 9 15 8 6 0 5 7 3 13 16 	 True 	 0.760323 	 9047502 		 15
6 14 1 5 15 9 4 12 8 2 0 7 3 11 10 13 16 	 True 	 0.684584 	 7623041 		 15
10 4 0 13 8 2 9 7 5 14 12 6 1 15 11 3 16 	 True 	 0.487703 	 5160706 		 15
12 4 8 10 13 7 9 1 0 3 14 2 15 11 6 5 16 	 True 	 0.026858 	 291772 		 14
9 3 13 0 1 8 14 11 10 7 12 2 4 15 6 5 16 	 True 	 0.056665 	 716295 		 14
11 6 4 0 12 5 8 15 10 13 9 1 3 2 14 7 16 	 True 	 0.310944 	 3249989 		 15
13 6 5 4 14 15 1 7 9 10 12 8 3 0 2 11 16 	 True 	 0.126417 	 1375191 		 14
0 10 11 5 12 1 8 7 2 4 13 14 15 6 3 9 16 	 True 	 0.046272 	 561955 		 14
12 2 11 10 15 6 3 8 0 5 14 1 4 13 9 7 16 	 True 	 1.077553 	 11963199 		 16
1 14 4 9 3 2 0 8 11 7 15 5 10 6 12 13 16 	 True 	 0.002196 	 26676 		 12
13 1 2 3 8 11 12 10 0 9 6 15 14 4 5 7 16 	 True 	 0.857526 	 9901824 		 15
14 11 6 1 5 12 9 4 15 8 2 0 7 3 10 13 16 	 True 	 1.020908 	 11367200 		 15
11 5 2 1 6 14 3 9 8 10 13 7 4 12 0 15 16 	 True 	 1.139012 	 12828154 		 15
6 4 10 1 5 8 14 0 3 13 2 12 11 9 7 15 16 	 True 	 0.085630 	 963614 		 14
8 7 3 9 15 12 0 6 1 11 4 5 13 2 14 10 16 	 True 	 0.720248 	 7990895 		 15
1 15 10 5 7 2 3 14 0 6 9 11 8 12 4 13 16 	 True 	 3.187631 	 39184293 		 16
15 7 0 14 13 3 6 5 2 1 8 10 11 9 12 4 16 	 True 	 0.050676 	 706852 		 14
0 4 15 9 10 5 3 11 6 13 12 2 8 14 1 7 16 	 True 	 0.070566 	 1037220 		 14
7 9 13 12 2 11 10 15 6 3 8 0 5 14 1 4 16 	 True 	 0.101475 	 1399613 		 15
4 1 7 12 6 5 3 0 10 14 11 15 9 13 8 2 16 	 True 	 1.205669 	 14932681 		 15
12 4 11 10 5 1 2 3 7 13 14 9 0 8 6 15 16 	 True 	 0.396971 	 5067454 		 14
5 9 15 4 10 2 13 6 12 3 11 0 8 7 14 1 16 	 True 	 0.787867 	 9927369 		 16
11 6 9 8 0 14 7 13 15 5 4 10 3 12 1 2 16 	 True 	 1.024419 	 12902750 		 15
8 1 4 6 3 7 9 5 2 12 0 15 13 14 10 11 16 	 True 	 0.744849 	 9563841 		 15
10 15 5 11 13 4 0 12 6 2 9 1 14 7 8 3 16 	 True 	 0.737230 	 9412773 		 15
0 8 7 10 1 5 13 4 3 9 15 6 12 14 11 2 16 	 True 	 0.489561 	 6173179 		 15
12 13 11 0 5 2 4 10 14 1 6 9 3 7 8 15 16 	 True 	 0.178594 	 2593834 		 14
2 6 14 15 1 11 5 0 3 10 8 4 9 7 12 13 16 	 True 	 0.043304 	 554837 		 13
7 9 13 12 2 15 6 3 11 10 8 0 5 14 1 4 16 	 True 	 0.041287 	 569356 		 14
12 15 0 2 1 11 14 10 7 13 4 9 6 5 8 3 16 	 True 	 2.832167 	 36904766 		 16
3 14 1 5 0 2 9 15 7 12 6 11 10 8 4 13 16 	 True 	 1.607895 	 20053888 		 15
11 1 0 12 9 15 8 2 14 6 3 10 13 7 4 5 16 	 True 	 0.286097 	 3923538 		 15
1 15 3 5 9 8 6 10 13 12 14 11 4 7 0 2 16 	 True 	 2.143459 	 27205266 		 15
5 4 10 6 15 3 12 9 2 7 14 1 11 0 13 8 16 	 True 	 1.732599 	 21933102 		 16
10 2 6 1 0 14 15 7 5 11 4 8 9 12 13 3 16 	 True 	 0.008245 	 100293 		 13
14 7 5 4 15 2 10 12 6 13 0 8 9 11 3 1 16 	 True 	 0.353581 	 4275297 		 15
15 13 0 11 14 9 6 12 5 10 3 7 1 8 4 2 16 	 True 	 0.392569 	 4836454 		 15
14 13 8 1 9 3 4 10 12 5 6 7 15 2 0 11 16 	 True 	 0.502903 	 6794875 		 15
7 2 12 13 9 15 6 3 11 10 8 0 5 14 1 4 16 	 True 	 0.106547 	 2037384 		 15
0 15 8 2 3 4 13 1 14 9 10 7 12 5 6 11 16 	 True 	 0.055060 	 929505 		 14
